date,league,t1,t2,bet_type,bet_line,ROI,fair_odds,odds,House,url,status,telegram
2 Jun 2025 17:00,CD,RED Academy,Vivo Keyd Stars Academy,over,total_kills 29.5,22.87%,1.49,1.83,BET365,url não disponível,pending,0.0
22 Mai 2025 13:00,LFL,Karmine Corp Blue,Gentle Mates,over,total_dragons 4.5,10.82%,1.42,1.57,BET365,url não disponível,pending,0.0
22 Mai 2025 13:00,LFL,Karmine Corp Blue,Gentle Mates,under,total_kills 27.5,7.65%,1.7,1.83,BET365,url não disponível,pending,0.0
22 Mai 2025 15:00,LPLOL,For The Win Esports,Odivelas Sports Club,under,total_kills 36.5,12.30%,1.63,1.83,BET365,url não disponível,pending,0.0
22 Mai 2025 13:00,LVP SL,Los Heretics,Barça eSports,under,total_kills 31.5,8.66%,1.68,1.83,BET365,url não disponível,pending,0.0
22 Mai 2025 13:00,LVP SL,Los Heretics,Barça eSports,under,game_duration 33.5,5.22%,1.74,1.83,BET365,url não disponível,pending,0.0
22 Mai 2025 13:00,NLC,Los Ratones,Verdant,over,total_towers 11.5,5.80%,1.52,1.61,BET365,url não disponível,pending,0.0
22 Mai 2025 13:00,NLC,Los Ratones,Verdant,over,total_inhibitors 1.5,12.64%,1.47,1.66,BET365,url não disponível,pending,0.0
23 Mai 2025 05:00,LCK,Gen.G,DRX,over,total_towers 11.5,6.87%,2.45,2.62,BET365,url não disponível,pending,0.0
23 Mai 2025 05:00,LCK,Gen.G,DRX,over,total_kills 25.5,16.54%,1.57,1.83,BET365,url não disponível,pending,0.0
23 Mai 2025 05:00,LCK,Gen.G,DRX,over,game_duration 29.5,7.87%,1.7,1.83,BET365,url não disponível,pending,0.0
23 Mai 2025 05:00,LCK,Gen.G,DRX,under,total_inhibitors 1.5,15.33%,1.44,1.66,BET365,url não disponível,pending,0.0
23 Mai 2025 05:00,LCK,Gen.G,DRX,over,total_barons 1.5,62.11%,4.94,8.0,BET365,url não disponível,pending,0.0
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,total_dragons 4.5,37.55%,1.9,2.62,BET365,url não disponível,pending,0.0
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,game_duration 33.5,37.25%,1.33,1.83,BET365,url não disponível,pending,0.0
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,total_inhibitors 1.5,6.87%,2.11,2.25,BET365,url não disponível,pending,0.0
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,total_barons 1.5,26.22%,1.21,1.53,BET365,url não disponível,pending,0.0
23 Mai 2025 09:00,LCP,Fukuoka SoftBank HAWKS gaming,CTBC Flying Oyster,over,total_inhibitors 1.5,12.71%,1.53,1.72,BET365,url não disponível,pending,0.0
