date,league,t1,t2,bet_type,bet_line,bet_result,ROI,fair_odds,odds,House,url,status,telegram,profit,game
2 Jun 2025 17:00,CD,RED Academy,Vivo Keyd Stars Academy,over,total_kills 29.5,25.0,22.87%,1.49,1.83,BET365,url não disponível,loss,0.0,-1.0,1
2 Jun 2025 17:00,CD,RED Academy,Vivo Keyd Stars Academy,over,total_kills 29.5,39.0,22.87%,1.49,1.83,BET365,url não disponível,win,0.0,0.83,2
2 Jun 2025 17:00,CD,RED Academy,Vivo Keyd Stars Academy,over,total_kills 29.5,51.0,22.87%,1.49,1.83,BET365,url não disponível,win,0.0,0.83,3
22 Mai 2025 13:00,LFL,Karmine Corp Blue,Gentle Mates,over,total_dragons 4.5,4.0,10.82%,1.42,1.57,BET365,url não disponível,loss,0.0,-1.0,1
22 Mai 2025 13:00,LFL,Karmine Corp Blue,Gentle Mates,over,total_dragons 4.5,5.0,10.82%,1.42,1.57,BET365,url não disponível,win,0.0,0.57,2
22 Mai 2025 13:00,LFL,Karmine Corp Blue,Gentle Mates,over,total_dragons 4.5,6.0,10.82%,1.42,1.57,BET365,url não disponível,win,0.0,0.57,3
22 Mai 2025 13:00,LFL,Karmine Corp Blue,Gentle Mates,under,total_kills 27.5,18.0,7.65%,1.7,1.83,BET365,url não disponível,win,0.0,0.83,1
22 Mai 2025 13:00,LFL,Karmine Corp Blue,Gentle Mates,under,total_kills 27.5,19.0,7.65%,1.7,1.83,BET365,url não disponível,win,0.0,0.83,2
22 Mai 2025 13:00,LFL,Karmine Corp Blue,Gentle Mates,under,total_kills 27.5,48.0,7.65%,1.7,1.83,BET365,url não disponível,loss,0.0,-1.0,3
22 Mai 2025 15:00,LPLOL,For The Win Esports,Odivelas Sports Club,under,total_kills 36.5,35.0,12.30%,1.63,1.83,BET365,url não disponível,win,0.0,0.83,1
22 Mai 2025 15:00,LPLOL,For The Win Esports,Odivelas Sports Club,under,total_kills 36.5,22.0,12.30%,1.63,1.83,BET365,url não disponível,win,0.0,0.83,2
22 Mai 2025 15:00,LPLOL,For The Win Esports,Odivelas Sports Club,under,total_kills 36.5,31.0,12.30%,1.63,1.83,BET365,url não disponível,win,0.0,0.83,3
22 Mai 2025 15:00,LPLOL,For The Win Esports,Odivelas Sports Club,under,total_kills 36.5,32.0,12.30%,1.63,1.83,BET365,url não disponível,win,0.0,0.83,4
22 Mai 2025 15:00,LPLOL,For The Win Esports,Odivelas Sports Club,under,total_kills 36.5,33.0,12.30%,1.63,1.83,BET365,url não disponível,win,0.0,0.83,5
22 Mai 2025 13:00,LVP SL,Los Heretics,Barça eSports,under,total_kills 31.5,38.0,8.66%,1.68,1.83,BET365,url não disponível,loss,0.0,-1.0,1
22 Mai 2025 13:00,LVP SL,Los Heretics,Barça eSports,under,total_kills 31.5,39.0,8.66%,1.68,1.83,BET365,url não disponível,loss,0.0,-1.0,2
